Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Βαλκουβίνα,,Άμπελος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΑΙΓΙΑΛΕΙΑΣ,287/1955,,38.1398287,22.3341641
Βρόστενα,Βρέσταινα,Λόφος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΑΙΓΙΑΛΕΙΑΣ,287/1955,,38.1316164,22.1930511
Κάτω Περλιάγκον,,Γλυκομηλέα,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.0,22.0
Σάικα,,Πετράλωνα,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΕΥΡΥΤΑΝΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,157/1955,,39.0108409,21.8181929
Βουρλοχώριον,,Αχλαδέα,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.839605,21.6184191
Άνω Κοπάνιτσα,Άνω Κοπάνιτζα,Κρυονέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,287/1955,,39.0,22.0
Ρετζίκιον,,Πεύκα,,ΜΑΚΕΔΟΝΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,157/1955,,40.5017961,22.916527
Αράχοβα,,Εξοχή,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΑΙΓΙΑΛΕΙΑΣ,287/1955,,38.0487475,22.3172691
Μέγα Ρεύμα,,Ροδοχώριον,,ΜΑΚΕΔΟΝΙΑ,ΗΜΑΘΙΑΣ,ΝΑΟΥΣΗΣ,287/1955,← Γκολέμα Ρέκα,39.0,22.0
Αχούρια,,Λάκκα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΑΙΓΙΑΛΕΙΑΣ,287/1955,,38.2394211,21.9847679
