Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Πλατύπορον,,Αβαρίκος,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΤΡΙΧΩΝΙΔΟΣ,54/1955,← Αβαρίκος,38.5302305,21.7007416
Βαλτοχώριον,,Αγία Παρασκευή,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,287/1955,,41.0197061,24.1601718
Κούτσιον,,Πολυνέριον,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΘΥΑΜΙΔΟΣ,287/1955,,39.400994499999996,20.326410700000004
Τύρνοβον Καστορίας,,Πράσινον,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,287/1955,,40.8014,21.48495
Πέστιανη,Πέτσιανη,Κρυόβρυση,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΘΥΑΜΙΔΟΣ,287/1955,,39.4846017,20.3323485
Μονούχα,,Παράδεισος,,ΜΑΚΕΔΟΝΙΑ,ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,287/1955,,40.1029165,23.7769865
Σαράτιον,,Μύλοι,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΘΥΑΜΙΔΟΣ,287/1955,,39.4605439,20.3423196
Τούπιζα,,Πύλη,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΒΑΛΤΟΥ,287/1955,,38.8083495,20.7892897
Παζαράκια,,Κρυοπηγή,,ΜΑΚΕΔΟΝΙΑ,ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,287/1955,,40.0360331,23.473187
Κορτέλιον,,Βούνος,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.64099,19.83588
Χόστια,Χώστια,Ελικών,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,54/1955,,38.32991355,22.890845279296485
Μπιτζαριανόν,Μπιτζαριανά,Πηγή,,ΚΡΗΤΗ,ΗΡΑΚΛΕΙΟΥ,ΠΕΔΙΑΔΟΣ,287/1955,,38.0432146,23.7541532
Κατσουλαίικα,,Ανθοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,39.0,22.0
Μούσγα,,Κυδωνίτσα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,36.9541867,22.4670534
